"","customer_id","sales"
"7842","JK-15205",1871.88
"7326","SC-20050",1856.19
"1434","IM-15070",1819.86
"4426","CL-12565",1805.88
"2535","DL-13495",1801.632
"4054","SM-20950",1801.632
"5183","JD-15790",1801.632
"3150","NF-18385",1799.994
"393","JG-15115",1799.97
"8794","KT-16480",1799.97
"3383","MS-17365",1799.75
"1897","AC-10450",1793.98
"4858","GK-14620",1793.98
"9028","SC-20095",1793.98
"5064","SC-20380",1781.682
"7762","BB-11545",1779.9
"6629","JE-15715",1747.25
"168","BM-11140",1740.06
"6293","AJ-10780",1737.18
"1757","TT-21460",1718.4
"11","BH-11710",1706.184
"3294","CM-12655",1704.89
"1251","DJ-13630",1704.56
"1712","JK-15205",1702.12
"6173","GB-14575",1690.04
"3569","JK-15640",1687.8
"7676","KM-16375",1687.8
"7111","LW-16990",1685.88
"3890","SP-20860",1684.752
"8446","AI-10855",1679.96
"9362","RD-19480",1676.88
"7993","CR-12580",1673.184
"1517","MC-17845",1669.6
"3587","AC-10450",1665.62
"722","MP-17965",1652.94
"6873","MM-17920",1652.94
"5423","NM-18520",1649.95
"8296","GZ-14545",1649.95
"9508","BE-11410",1649.75
"5432","RM-19675",1640.7
"6835","FC-14335",1640.7
"2927","TH-21550",1633.188
"3182","BM-11650",1633.14
"2859","SC-20380",1628.82
"9630","TC-21295",1628.82
"7081","AR-10825",1626.192
"2392","SG-20605",1619.91
"1014","JS-15880",1618.37
"7894","DC-12850",1614.582
"2021","RH-19510",1606.23
"4206","AM-10705",1604.9
"2855","DJ-13510",1603.136
"5867","MA-17995",1603.136
"4637","JF-15565",1599.92
"4353","RO-19780",1598.058
"9488","BO-11350",1592.85
"9398","NP-18700",1591.02
"2057","TP-21130",1586.69
"2358","CP-12340",1579.746
"3565","RD-19660",1577.94
"9268","AH-10210",1577.94
"4135","PV-18985",1575.14
"1546","PC-18745",1573.488
"7683","BB-11545",1568.61
"6847","JO-15145",1565.88
"9143","CB-12535",1564.29
"8448","TH-21115",1554.936
"2354","SC-20260",1552.831
"7646","DB-13120",1548.99
"6111","SP-20920",1537.074
"2940","JD-16150",1526.56
"5308","NC-18415",1525.188
"6556","EB-13750",1522.638
"5186","ZC-21910",1516.2
"9216","MH-18025",1504.52
"248","DW-13480",1503.25
"5014","TH-21100",1502.376
"9668","FM-14290",1499.97
"7469","EM-14140",1499.95
"7810","MG-17680",1497.666
"5610","HW-14935",1496.16
"378","AR-10405",1488.424
"5810","JD-16150",1487.976
"4375","BT-11305",1487.04
"7522","CL-12565",1487.04
"5457","PK-19075",1478.272
"6108","SP-20920",1474.802
"9181","JL-15505",1473.1
"6232","JF-15415",1471.96
"3826","RW-19540",1458.65
"8557","DJ-13420",1454.9
"2190","IL-15100",1454.49
"5761","FH-14365",1448.82
"2754","GA-14515",1447.65
"3589","FM-14290",1443.96
"1812","FO-14305",1441.3
"1834","AS-10045",1439.982
"1987","CB-12415",1439.976
"6198","SB-20185",1439.968
"8919","DF-13135",1439.968
"1831","SL-20155",1439.92
"9192","GM-14680",1432
"3938","MH-17455",1424.9
"3479","SP-20620",1421.664
"6637","AJ-10780",1421.664
"7449","SJ-20125",1415.76
"3425","DE-13255",1408.1
"2559","TM-21010",1406.86
"6914","SH-20635",1403.92
"9754","SF-20965",1403.92
"7517","JL-15835",1399.98
"2573","CM-12235",1399.944
"815","PJ-19015",1399.93
"2299","VD-21670",1399.93
"5793","LD-17005",1395.54
"1977","AS-10225",1394.95
"1023","GT-14710",1379.92
"8203","BG-11035",1369.764
"8627","OT-18730",1369.764
"5159","TS-21430",1367.84
"793","JK-15730",1363.96
"1047","ZC-21910",1363.96
"6762","RL-19615",1362.9
"3798","KL-16555",1359.96
"5053","AH-10465",1352.3976
"7645","FC-14335",1352.032
"7190","JS-15880",1350.12
"9393","MW-18220",1349.91
"2603","EN-13780",1349.85
"2540","EM-13810",1348.704
"4517","ND-18460",1347.52
"6046","CP-12340",1345.485
"413","KH-16510",1336.829
"7384","AG-10270",1336.44
"558","OT-18730",1335.68
"4456","SE-20110",1332.496
"2673","RR-19525",1325.85
"4935","BD-11605",1325.85
"5557","IL-15100",1325.85
"4985","CL-12700",1325.76
"5636","GM-14440",1325.76
"8005","AA-10645",1323.9
"1181","DB-13060",1322.93
"2478","GM-14695",1322.352
"5514","KC-16255",1319.96
"7224","ES-14080",1319.8
"5139","FP-14320",1317.492
"7643","DL-12925",1299.99
"6098","SV-20365",1299.66
"811","ZC-21910",1298.55
"7603","BS-11665",1297.368
"2114","SG-20080",1295.84
"555","DK-13225",1295.78
"8793","VM-21685",1294.75
"5868","EB-13705",1293.488
"2654","AS-10225",1292.94
"3369","TB-21280",1287.45
"8581","KB-16240",1287.45
"8729","PW-19030",1287.45
"1954","AC-10615",1282.41
"7325","SC-20050",1279.968
"4451","AA-10645",1279.165
"464","TN-21040",1272.63
"8755","BF-11170",1270.99
"4938","IL-15100",1268.82
"2986","JB-16045",1267.65
"1022","GT-14710",1267.53
"8226","PF-19165",1266.86
"1626","JG-15160",1265.85
"4887","RF-19345",1263.3
"7062","RS-19765",1261.33
"4388","CD-11920",1259.97
"3731","KH-16630",1259.93
"5629","NF-18385",1256.22
"8175","SS-20410",1252.704
"1644","FH-14365",1247.64
"6502","VW-21775",1247.64
"1837","NH-18610",1245.86
"881","HP-14815",1242.9
"820","CA-12775",1228.465
"8776","CM-12715",1227.9984
"4114","AC-10450",1219.96
"2610","MC-17590",1218.735
"1583","NP-18325",1217.568
"8827","SW-20455",1217.568
"5924","RA-19885",1215.92
"5147","JG-15160",1214.85
"2258","TS-21610",1212.96
"9423","VW-21775",1212.96
"1487","CM-12655",1212.848
"7629","KH-16360",1207.84
"3483","CC-12610",1202.94
"7694","BF-11170",1199.98
"407","KH-16510",1199.976
"596","LR-16915",1199.976
"754","YC-21895",1199.976
"4810","EB-14110",1199.976
"6060","RA-19285",1199.96
"910","BE-11335",1199.8
"6149","EK-13795",1198.33
"7455","LL-16840",1196.86
"5649","AJ-10795",1194.165
"216","VW-21775",1188
"7836","CV-12295",1184.72
"3586","MH-18115",1169.694
"991","SL-20155",1166.92
"6268","BB-11545",1159.056
"5769","SC-20440",1158.12
"6985","BB-11545",1158.12
"2221","MH-17620",1145.6
"1250","DJ-13630",1141.938
"870","PK-18910",1141.47
"2839","CK-12325",1139.92
"2484","KN-16705",1137.75
"5864","RS-19420",1133.35
"8778","JD-16150",1128.39
"1828","CH-12070",1127.976
"519","AD-10180",1126.02
"4886","RF-19345",1126.02
"9560","TG-21640",1125.488
"3117","JE-15610",1123.92
"9138","RD-19480",1123.128
"552","BD-11320",1121.568
"2274","JL-15850",1119.984
"8930","BP-11185",1119.888
"2511","AW-10930",1117.92
"4724","MP-18175",1117.92
"4894","EH-13765",1117.92
"6685","HG-15025",1117.92
"2405","MG-18145",1115.91
"9054","AR-10825",1115.17
"282","SC-20725",1114.4
"943","RW-19630",1114.272
"1049","LC-16885",1113.504
"68","BS-11590",1113.024
"9167","LB-16795",1112.94
"1082","BT-11395",1106.91
"4281","AB-10105",1103.97
"2477","PF-19225",1101.48
"1253","IM-15070",1099.96
"9424","BP-11185",1099.96
"5923","GD-14590",1099.5
"36","GH-14485",1097.544
"9499","PW-19030",1091.93
"3390","MG-17650",1091.168
"9229","LR-16915",1091.168
"1003","RH-19495",1090.782
"1376","VD-21670",1089.75
"5726","JP-15520",1089.75
"1200","ZC-21910",1088.792
"2817","DR-12940",1088.76
"9920","DH-13075",1087.936
"3785","JD-15895",1085.42
"8269","ND-18460",1085.42
"9861","SM-20950",1085.42
"300","JD-15895",1082.48
"9707","MD-17350",1080.096
"8119","FP-14320",1079.976
"9573","RB-19705",1079.85
"9283","TB-21625",1079.316
"2792","KN-16450",1075.088
"2359","CP-12340",1071.576
"9402","LC-17140",1071
"1127","HL-15040",1067.94
"6841","AJ-10795",1059.12
"3817","NW-18400",1056.86
"8549","PM-18940",1056.86
"7485","PM-19135",1053.164
"3832","MY-18295",1049.97
"5681","RD-19585",1049.93
"6573","EJ-13720",1049.44
"639","RB-19465",1049.2
"4244","LS-16975",1049.2
"1728","FM-14215",1048.35
"25","EB-13870",1044.63
"1563","SG-20470",1044.63
"370","MK-17905",1043.92
"5613","JP-15460",1040.8
"6361","CK-12205",1039.992
"7766","TS-21205",1039.728
"283","JO-15280",1038.84
"3123","JE-15610",1036.624
"7452","KH-16360",1036.624
"8472","BF-11020",1035.8
"55","JM-15265",1029.95
"5392","GR-14560",1025.88
"1464","LC-16930",1024.716
"1989","AS-10090",1024.38
"374","AG-10900",1023.936
"9782","CJ-12010",1023.332
"3043","BP-11230",1022.97
"1670","MM-17920",1018.104
"2240","TG-21310",1016.792
"3767","KB-16585",1013.832
"2875","TD-20995",1013.488
"7078","JE-15715",1012.68
"437","PO-19180",1007.979
"6576","MW-18220",1007.944
"949","RB-19795",1007.232
"1631","CL-12565",1006.056
"1506","PC-19000",1004.976
"409","KH-16510",1004.024
"2482","AH-10210",1003.62
"5154","GH-14410",1001.584
"6904","SW-20455",1001.584
"1614","YS-21880",1000.02
"6208","YS-21880",1000.02
"4071","NP-18685",999.98
"8173","TG-21310",999.98
"2812","MP-18175",999.96
"660","CB-12025",999.432
"8567","BT-11680",998.85
"9937","MD-17350",998.82
"2142","GT-14635",991.764
"3822","CC-12685",991.2
"7247","BP-11155",989.97
"3076","KM-16375",981.372
"534","RL-19615",979.95
"1586","NP-18325",979.95
"7316","MN-17935",979.95
"9722","KM-16720",979.95
"4067","KH-16630",978.84
"1493","TS-21370",977.292
"4848","MC-17275",975.92
"4878","TB-21175",975.92
"6436","LC-16885",974.988
"7146","VD-21670",971.88
"4399","GZ-14470",971.5
"8563","DP-13105",968.744
"5288","KT-16465",966.7
"4439","DK-13375",965.85
"3144","CS-11845",963.136
"6484","JW-16075",962.08
"289","AH-10195",961.48
"336","DB-13615",959.984
"5566","SU-20665",959.984
"8815","DK-13090",959.984
"2896","EB-13975",959.968
"4","SO-20335",957.5775
"2404","HM-14860",956.6648
"4264","EP-13915",956.6648
"4717","DE-13255",947.17
"9226","RP-19390",946.764
"1417","SV-20815",946.344
"5724","AH-10690",946.344
"6428","SH-20395",945.036
"160","NP-18670",944.93
"8766","DB-13555",942.784
"8944","JL-15130",934.956
"1980","KT-16465",933.536
"8407","MD-17350",933.408
"8230","CJ-12010",933.262
"3216","FH-14275",931.176
"7527","RA-19885",931.176
"662","CB-12025",918.785
"4493","CC-12670",917.9235
"6287","NF-18595",915.136
"7868","DB-12910",915.136
"2596","BM-11650",914.97
"4383","RA-19915",913.43
"8357","TS-21655",913.43
"1375","CA-12265",912.75
"3836","KM-16720",911.984
"12","BH-11710",911.424
"4492","JK-15730",909.72
"1906","MD-17860",909.12
"7180","JM-15250",908.82
"8","BH-11710",907.152
"7541","BS-11380",906.68
"3005","CR-12730",904.9
"4592","MC-18130",902.712
"8364","SV-20365",902.712
"4398","GZ-14470",901.95
"8389","EJ-14155",901.95
"2016","AM-10705",900.08
"3503","JK-16120",900.08
"9612","BS-11380",899.982
"3703","DH-13075",899.97
"5339","DV-13465",899.95
"461","JH-15985",899.91
"5723","DR-12880",899.91
"6405","GT-14710",899.43
"9342","CK-12325",899.43
"190","MP-17470",899.136
"1368","AB-10600",899.136
"4926","AD-10180",897.15
"3323","KD-16270",896.99
"9729","NC-18535",896.99
"4289","AT-10435",896.328
"9828","CY-12745",895.944
"1920","EH-13765",895.92
"2120","RW-19630",895.92
"2992","MJ-17740",895.92
"4705","WB-21850",895.92
"2290","RS-19420",892.98
"8050","CB-12025",892.35
"1191","BT-11530",892.224
"7642","CA-11965",892.224
"7054","WB-21850",892.136
"7302","MG-18145",890.841
"1190","BT-11530",889.536
"6181","GB-14575",887.84
"7590","DB-13210",887.271
"9112","NS-18505",887.271
"4248","BS-11365",887.103
"5880","JW-15220",885.528
"709","DP-13165",883.92
"2659","HR-14830",883.84
"6706","GZ-14470",883.84
"2202","LT-17110",881.93
"9244","SW-20275",881.93
"3748","DR-12880",879.984
"3823","CC-12685",879.984
"7779","ER-13855",876.3
"1469","DK-12835",872.94
"7687","RS-19420",872.94
"2024","RH-19510",872.32
"6563","CT-11995",872.32
"6471","DB-13060",871.8
"4267","AM-10705",871.4
"2521","CD-12790",868.59
"7393","DB-12970",866.646
"425","NF-18385",866.4
"5751","LC-17050",866.4
"4680","MV-18190",863.928
"1261","JR-15700",863.88
"1923","SC-20230",863.64
"4262","EP-13915",863.128
"8162","AH-10690",863.128
"6926","RD-19900",862.344
"7948","KD-16345",861.76
"3994","DK-12895",860.93
"5503","TH-21115",859.2
"6038","FA-14230",859.2
"9326","ES-14080",859.2
"2640","SB-20170",858.24
"8909","CV-12805",856.656
"1031","LA-16780",854.94
"1203","LS-16945",854.352
"4021","AA-10645",853.93
"8955","RO-19780",853.93
"1690","TS-21610",853.092
"7621","NM-18445",850.5
"9698","LB-16795",849.95
"9871","BE-11455",848.544
"1296","JH-16180",845.728
"2843","BG-11695",845.488
"3550","ME-17320",844.116
"4659","SV-20785",844.116
"5609","HW-14935",843.9
"7332","JK-15625",843.9
"4432","AP-10915",842.94
"9343","DN-13690",842.72
"5146","JL-15175",842.376
"3871","JF-15355",842.352
"925","AH-10075",841.568
"3752","DR-12880",841.568
"1234","BG-11695",839.988
"145","SG-20080",839.43
"6172","NZ-18565",838.38
"3111","MS-17770",837.6
"4748","DL-13495",837.6
"1083","KD-16270",836.592
"3942","MG-17695",835.17
"7548","KH-16330",833.94
"2210","ML-17410",832.93
"73","JE-15745",831.936
"1851","RK-19300",831.2
"9069","DB-13555",828.84
"7132","TT-21460",828.6
"3181","BM-11650",826.62
"2436","PJ-18835",826.11
"8631","JM-16195",826
"3511","HW-14935",825.174
"6965","MP-17965",824.97
"6396","GM-14455",824.95
"3813","ZD-21925",823.96
"3855","DM-13015",823.96
"4072","SC-20680",821.94
"2552","AB-10105",821.88
"2648","TB-21400",821.88
"2696","SM-20320",821.3
"4504","BF-11170",818.376
"5627","RB-19465",815.292
"3551","ME-17320",812.736
"2872","SW-20275",811.28
"9725","EB-14170",807.75
"8238","BW-11200",806.336
"3582","KD-16495",801.96
"3815","NW-18400",801.96
"3913","ML-17410",801.6
"503","MY-17380",801.568
"1872","ME-18010",801.568
"5878","JW-15220",801.568
"9390","MW-18220",801.568
"4198","MA-17560",799.984
"2729","FH-14350",799.96
"7273","JK-16120",799.92
"6188","JM-15535",799.56
"917","KL-16555",797.944
"9743","BH-11710",797.944
"3518","MG-17875",796.425
"5847","PO-19180",795.51
"5742","DH-13075",795.48
"7394","DM-12955",795.408
"5007","LR-17035",791.964
"9095","MG-17650",791.88
"118","DK-13090",787.53
"329","PO-18850",786.744
"1622","JC-15385",786.48
"2671","RR-19525",785.88
"2753","GA-14515",783.96
"2799","JS-15595",783.96
"4756","SG-20605",783.96
"1540","CL-11890",782.94
"9479","MY-18295",781.864
"1830","BS-11755",779.796
"5842","BS-11665",777.21
"7140","MH-17290",776.85
"8100","SB-20185",775.728
"4976","AH-10210",773.94
"4668","DB-13555",772.68
"6157","GM-14440",772.68
"8024","DM-13525",772.68
"5016","SS-20410",772.47
"5020","JE-15475",772.47
"5957","DK-13225",770.352
"3995","DK-12895",769.95
"9311","JH-16180",769.184
"4038","AJ-10795",767.952
"6129","TB-21190",767.214
"1714","MM-18055",765.625
"1246","NP-18700",764.688
"3631","DB-12970",763.44
"1576","MC-18100",763.28
"2845","SN-20560",762.594
"2075","DB-13270",761.544
"8635","DB-13120",760.98
"7101","KH-16330",760.116
"4859","GM-14455",758.352
"7199","VB-21745",756.8
"8959","LW-17125",756.8
"7475","ME-17320",755.96
"7543","CM-12715",755.944
"2415","TB-21595",754.45
"8359","JL-15235",751.984
"4247","SJ-20500",751.92
"5472","YC-21895",750.68
"5184","EH-14125",748.752
"458","NF-18385",747.558
"5073","SV-20365",744.1
"8243","CS-12400",743.988
"4769","AC-10450",742.336
"3153","SM-20950",735.98
"6824","TC-20980",735.98
"9963","RB-19435",735.98
"3261","TS-21205",733.95
"2","CG-12520",731.94
"9632","MH-17785",730.2
"614","GD-14590",728.946
"8052","CB-12025",728.82
"1864","NC-18625",727.45
"3015","MH-18115",727.296
"271","KH-16690",725.84
"5343","SC-20725",725.84
"7618","RB-19435",725.344
"661","CB-12025",724.08
"2304","MO-17800",723.92
"8655","HZ-14950",723.92
"1043","MO-17500",722.352
"7403","CB-12535",722.352
"7341","DV-13045",721.875
"5043","AI-10855",720.76
"5359","NC-18625",720.76
"3782","MN-17935",720.064
"7799","SJ-20125",720.064
"8547","MC-17425",719.976
"2495","KT-16480",719.96
"7542","CM-12715",719.952
"8080","KH-16690",718.64
"3613","SC-20770",718.116
"7164","NP-18325",717.72
"9902","KD-16615",717.72
"4973","JR-16210",717.12
"5037","TS-21370",716
"5846","PO-19180",715.64
"7903","RW-19630",715.64
"5272","SV-20785",715.2
"434","DB-13060",714.3
"5003","SC-20695",714.3
"6938","SC-20260",713.88
"2070","ZC-21910",710.832
"9174","JL-15505",707.88
"5219","PP-18955",706.86
"8044","DK-13225",706.86
"2555","JC-15775",705.544
"2807","MH-18025",704.9
"4362","NC-18340",704.76
"8643","RH-19555",704.76
"481","JG-15805",704.25
"6294","AJ-10780",704.25
"474","JP-15520",703.968
"7638","LB-16795",703.71
"6289","ME-17725",701.96
"9457","BS-11590",701.96
"658","EH-14125",701.372
"2541","EM-13810",700.152
"2745","KT-16480",700.056
"1789","RP-19855",699.98
"5057","TP-21130",699.98
"1122","HL-15040",699.93
"339","AC-10420",698.352
"6628","JE-15715",698.352
"8783","JE-15715",698.352
"1041","RD-19660",697.16
"5228","SA-20830",697.16
"4190","HK-14890",696.42
"1341","AS-10045",695.7
"2837","TC-21295",695.7
"3100","JG-15310",695.16
"6044","BF-11215",692.94
"4268","SH-20635",692.472
"3847","JE-15745",691.96
"9504","RD-19900",689.82
"4988","AW-10930",689.408
"5032","HR-14770",687.4
"8863","CC-12475",686.4
"1145","AP-10915",686.32
"5929","RL-19615",683.988
"527","PH-18790",683.952
"9926","KH-16510",683.332
"4778","SC-20725",683.144
"3623","BC-11125",681.408
"6922","JL-15235",681.408
"9157","AG-10900",680.01
"7614","CM-12235",679.96
"1339","CM-12115",677.58
"1662","QJ-19255",677.58
"5954","DK-13225",676.55
"1625","JG-15160",675.96
"2578","RA-19885",675.12
"8274","BD-11725",675.06
"3837","KM-16720",674.352
"7187","DW-13480",674.352
"4902","MC-17605",674.058
"2230","AA-10315",673.568
"9776","CL-12565",673.568
"9481","NF-18385",673.344
"2953","EM-14140",671.984
"4162","EP-13915",671.94
"146","HA-14920",671.93
"3088","DB-12910",671.93
"4723","LB-16795",671.544
"8123","TS-21655",670.752
"1637","NW-18400",669.08
"9675","AH-10030",668.16
"3017","MH-18115",666.4
"4306","WB-21850",666.344
"530","MG-18145",666.248
"17","PK-19075",665.88
"3776","JB-16045",665.88
"455","EB-13705",665.408
"5498","MM-18055",664.146
"3068","ML-17755",663.936
"8008","TB-21625",663.92
"9184","SM-20320",663.072
"1941","JE-15715",662.88
"3319","TS-21505",662.88
"2443","AF-10870",662.84
"6283","VW-21775",661.176
"4489","JK-15730",659.988
"1931","VM-21685",659.976
"2247","BF-11005",659.976
"7973","JK-15625",659.97
"3889","SP-20860",659.9
"5607","BG-11035",659.9
"5918","PF-19120",659.9
"4547","RL-19615",659.168
"4732","Dl-13600",658.746
"3601","RB-19330",657.93
"4571","MG-17650",657.93
"8019","HM-14860",657.93
"3523","GA-14515",657.552
"4341","ND-18370",657.504
"3493","KB-16240",655.9
"2813","MP-18175",653.55
"5033","SC-20260",653.55
"2628","SB-20290",652.995
"1395","CK-12760",652.45
"6306","TP-21565",650.352
"7289","LR-16915",649
"258","DR-12880",647.904
"360","VB-21745",647.84
"2496","SC-20575",647.84
"543","LM-17065",646.776
"766","CS-12250",646.74
"6022","DM-13015",646.272
"4056","DK-12985",646.2
"1147","NC-18340",644.076
"6728","BV-11245",643.136
"770","LE-16810",641.96
"7457","AR-10540",639.968
"4087","LH-16900",638.82
"5730","DR-12880",638.82
"3653","AJ-10945",638.73
"5772","BP-11290",638.288
"4001","CC-12220",637.896
"8443","AH-10075",637.896
"8279","SZ-20035",637.44
"3729","KH-16630",636.86
"2101","KT-16480",636.408
"4670","KL-16645",635.96
"6545","VF-21715",634.116
"2490","TB-21250",631.96
"9267","HM-14860",631.96
"4344","MM-17260",631.782
"9389","MW-18220",631.782
"4495","GW-14605",631.176
"8405","ON-18715",630.024
"2727","SK-19990",629.958
"4175","RS-19765",629.95
"6178","GB-14575",629.95
"6466","DB-13270",629.95
"6744","KB-16600",629.95
"9388","MW-18220",629.95
"5116","GM-14500",629.93
"8883","ML-17755",629.64
"6307","TP-21565",629.184
"3398","DH-13075",629.1
"4921","MH-18115",629.1
"7254","EM-14140",629.1
"2414","JA-15970",629.064
"2400","SB-20290",628.81
"3130","CC-12100",627.168
"6633","MB-18085",627.168
"193","MP-17470",626.352
"8706","EJ-14155",626.352
"8921","DF-13135",626.1
"7682","TT-21070",625.99
"6940","RD-19930",623.96
"9109","EB-13975",623.96
"4667","DB-13555",623.4648
"227","DS-13180",622.45
"6973","CY-12745",621.76
"233","CS-12400",620.6145
"1119","CS-12355",619.95
"2680","MH-18115",619.95
"5713","BM-11650",619.95
"8657","JG-15160",619.152
"236","CS-12400",617.976
"8849","FO-14305",617.976
"996","MW-18235",617.97
"4410","TB-21280",617.97
"126","PF-19165",617.7
"3844","TS-21370",616.998
"2281","JK-15625",614.272
"9686","PO-18850",613.9992
"2360","CP-12340",613.908
"3833","MY-18295",611.058
"7472","ME-17320",609.98
"8923","FP-14320",609.98
"8572","CM-12190",607.52
"7678","KM-16375",605.88
"5231","LS-17200",605.34
"8360","SZ-20035",604.768
"3554","PO-18865",604.752
"9416","NC-18535",604.752
"2517","PB-19105",604.656
"984","TZ-21580",603.92
"1571","SC-20095",603.92
"3311","TH-21100",603.92
"3494","KB-16240",603.92
"3714","JK-15625",603.92
"6895","VS-21820",602.651
"1020","KM-16225",601.65
"2784","CD-12790",601.536
"3201","RD-19900",601.536
"2592","SE-20110",601.47
"5125","DM-13015",601.3
"125","AD-10180",600.558
"8668","JS-16030",600.558
"9783","CJ-12010",600.558
"8277","SZ-20035",600.53
"5770","EA-14035",599.99
"7278","GH-14410",599.985
"1151","NC-18340",599.98
"3524","SU-20665",599.97
"7039","SV-20365",599.97
"4047","KE-16420",599.9
"981","EB-13870",599.292
"5425","MH-17290",599.165
"7005","KN-16390",598.458
"1913","FH-14275",597.132
"2047","MC-17590",597
"2292","TS-21160",595.38
"9647","MS-17365",595.38
"2417","ML-18040",595
"8152","PG-18820",595
"9319","DB-13660",594.816
"1204","LS-16945",593.568
"7816","CW-11905",592.74
"7569","FH-14275",591.32
"4584","NL-18310",590.352
"5602","BS-11380",590.352
"1370","JR-15670",590.058
"4615","TH-21550",589.9
"6437","CC-12220",589.41
"9576","RB-19705",589.41
"5437","EH-14185",588.784
"2597","BM-11650",587.97
"4094","KW-16435",587.97
"6343","EM-14140",587.97
"7013","FM-14215",587.97
"4631","DS-13180",586.398
"2748","CS-11950",585.552
